PT08.S1(CO),T,RH,AH
918,18.8,46.6,1.0027
890,19.8,46.0,1.0524
865,21.3,42.3,1.0625
1003,21.3,41.8,1.0449
1123,24.0,36.6,1.0772
1146,27.2,30.7,1.0884
1110,32.3,23.6,1.1271
1126,31.9,25.8,1.2023
1067,35.1,21.8,1.2093
1008,36.0,20.5,1.1995
1062,37.0,20.1,1.2423
1082,36.4,21.0,1.2515
1042,35.2,22.6,1.267
1022,32.5,27.6,1.3229
1024,29.1,35.1,1.3919
1048,26.9,39.7,1.3898
1153,26.1,42.2,1.4039
1195,25.5,43.8,1.4095
1245,24.9,45.6,1.4135
1086,25.2,45.2,1.4262
972,25.4,45.5,1.457
880,26.2,43.6,1.4599
906,24.3,48.2,1.4476
879,24.4,48.3,1.4499
842,23.3,51.0,1.4346
797,21.6,48.1,1.2259
796,21.4,47.8,1.2005
767,20.5,46.8,1.1152
784,20.8,40.7,0.9882
811,22.3,35.3,0.9371
838,21.7,38.3,0.9842
821,24.4,29.6,0.8921
793,23.4,34.9,0.991
794,23.5,35.2,1.0019
821,22.4,39.0,1.04
849,22.0,41.7,1.0865
852,21.7,42.7,1.0949
847,20.7,43.4,1.047
849,20.3,42.6,1.0045
865,20.3,44.1,1.0392
848,20.1,45.2,1.0538
807,19.8,45.7,1.0424
814,19.6,45.3,1.0244
785,19.4,45.9,1.0242
748,19.7,44.8,1.0172
716,19.5,46.3,1.0363
708,19.0,49.0,1.063
724,19.1,50.7,1.109
748,19.1,52.7,1.1545
888,20.3,49.3,1.1596
973,21.1,46.2,1.1389
993,21.5,44.5,1.129
929,22.4,43.6,1.1637
962,24.8,39.1,1.2039
906,23.9,42.1,1.2335
915,25.5,38.3,1.2328
928,25.4,39.2,1.2534
855,25.6,37.0,1.2006
920,24.5,38.4,1.1669
917,23.9,39.9,1.1639
1072,24.2,39.2,1.1665
1000,23.5,41.2,1.1759
914,22.3,44.9,1.1973
888,21.7,46.5,1.1917
851,22.0,44.9,1.1699
870,22.2,44.1,1.1654
883,21.8,45.6,1.1763
886,21.6,46.0,1.1742
792,21.6,45.8,1.1715
754,20.7,48.3,1.168
732,21.0,47.1,1.1546
770,20.8,48.5,1.18
797,20.8,49.4,1.1994
915,19.9,51.8,1.1911
1287,20.9,49.3,1.2049
1195,23.7,39.9,1.1508
1003,25.3,35.8,1.1421
1037,28.8,29.1,1.1349
1114,30.3,26.9,1.1399
1085,32.8,23.3,1.138
1024,33.9,21.4,1.1135
1017,35.3,19.6,1.1036
1053,34.0,20.8,1.0898
1065,35.3,18.8,1.0572
1136,32.6,24.1,1.1688
1100,30.8,28.7,1.2507
1143,28.7,31.2,1.2099
1083,26.8,35.1,1.2201
1009,25.3,39.4,1.2524
969,23.9,40.9,1.1966
1029,23.0,44.4,1.2354
1064,22.2,53.9,1.4237
986,20.9,59.8,1.4659
872,21.3,58.1,1.457
840,20.8,58.4,1.4189
812,20.3,58.9,1.3878
810,21.3,54.5,1.3682
936,20.6,57.4,1.3753
1244,21.3,56.9,1.4226
1440,22.9,52.4,1.4442
1180,24.1,46.5,1.3802
1126,27.1,38.8,1.3705
1005,28.4,34.4,1.314
1032,30.1,30.9,1.2958
1087,32.7,25.8,1.2547
1090,32.4,25.7,1.2271
1072,33.6,24.4,1.2472
1101,33.0,26.0,1.2877
1111,33.2,23.7,1.1855
1048,31.3,25.4,1.1415
1197,28.3,31.7,1.1968
1173,26.5,35.0,1.1981
1075,24.4,40.0,1.2079
1067,23.3,43.4,1.2251
1060,22.5,45.3,1.2226
1081,21.8,47.8,1.2325
1017,20.9,51.0,1.2446
836,20.8,51.7,1.2572
831,19.3,57.1,1.2661
804,18.8,58.6,1.2581
798,20.2,53.8,1.2569
966,18.3,60.8,1.2635
1277,20.2,54.5,1.2777
1335,21.9,49.9,1.2957
1297,25.2,43.0,1.3548
1041,28.0,36.6,1.3603
1027,27.1,38.3,1.3548
1037,27.4,37.0,1.3319
1014,29.4,32.9,1.3244
1007,31.3,28.7,1.2885
998,31.5,28.7,1.3058
1014,30.9,30.3,1.3306
1157,31.4,30.3,1.3689
1225,30.7,31.4,1.3686
1131,29.0,33.4,1.3169
1111,27.3,37.5,1.342
976,25.8,40.9,1.3389
1016,25.2,43.0,1.358
1177,24.6,45.8,1.394
1013,24.0,47.3,1.3914
886,23.5,48.3,1.3777
791,24.0,45.8,1.3467
762,22.2,50.7,1.3405
740,22.8,48.1,1.3184
775,21.9,50.1,1.3002
872,20.4,54.1,1.28
1123,20.8,52.6,1.2758
1306,22.8,47.9,1.3156
1237,25.2,42.9,1.3552
1143,29.3,34.8,1.397
1170,33.3,27.8,1.4013
1116,34.9,24.9,1.363
1054,36.1,22.7,1.3324
1083,37.6,21.1,1.3478
1078,37.3,21.9,1.3761
1104,37.2,21.6,1.3514
1170,35.6,23.4,1.341
1091,33.1,24.3,1.2087
1216,30.5,29.5,1.2635
1125,28.7,35.8,1.3834
971,26.6,42.2,1.4452
1062,25.2,46.6,1.4733
1140,24.7,47.7,1.4649
1038,24.4,47.4,1.4301
935,23.3,49.9,1.4135
861,23.8,47.3,1.3783
839,22.9,50.2,1.3808
850,21.2,55.0,1.3689
817,21.7,52.6,1.35
825,22.8,48.9,1.3424
921,23.5,47.6,1.3611
1031,24.6,44.9,1.3661
1092,27.0,39.9,1.402
1095,29.3,35.9,1.4411
1097,31.2,32.4,1.4517
1101,34.4,26.6,1.423
1060,36.1,22.1,1.3004
732,18.9,55.2,1.1895
809,18.2,57.6,1.193
934,18.6,56.0,1.1865
1132,20.8,48.0,1.1702
1221,23.3,38.6,1.0919
1024,25.1,32.4,1.017
938,27.8,25.8,0.9473
869,29.6,21.0,0.8548
846,30.2,18.0,0.7613
838,30.1,18.5,0.7747
875,29.5,19.4,0.7872
907,31.1,18.2,0.8079
889,30.3,19.0,0.8103
969,30.1,19.3,0.8083
1051,28.6,22.3,0.859
1043,26.1,28.3,0.9407
1043,24.5,35.7,1.0807
1007,23.1,41.5,1.1582
966,21.8,46.3,1.1913
920,20.9,48.9,1.1945
889,20.5,49.9,1.1903
825,20.0,50.9,1.1794
758,22.1,44.3,1.1665
735,21.0,47.5,1.1666
719,19.8,50.3,1.1444
757,19.0,52.8,1.1489
890,17.8,56.5,1.1375
1181,18.2,55.8,1.1529
1332,20.6,47.7,1.1448
1128,22.8,41.9,1.1496
1128,27.1,31.7,1.1147
1064,30.4,26.4,1.131
1139,31.1,26.2,1.1647
1121,31.4,25.3,1.1444
1032,30.8,26.7,1.168
1040,31.8,25.6,1.1868
1076,33.5,22.9,1.1649
1177,33.1,23.5,1.1673
1196,31.7,25.9,1.1883
1204,29.0,30.4,1.2013
1166,27.4,33.6,1.2095
959,25.2,36.4,1.1528
1004,24.0,39.6,1.1662
1050,23.8,39.6,1.1558
965,22.9,43.6,1.1974
849,22.8,43.9,1.202
809,21.8,47.3,1.2189
777,21.7,47.3,1.2135
768,20.8,50.3,1.2207
768,21.7,46.8,1.2031
917,20.3,52.3,1.2367
1252,20.5,52.3,1.245
1224,21.7,49.6,1.2673
1277,24.0,43.1,1.2677
1149,28.5,31.7,1.2144
1091,32.2,25.1,1.189
1053,34.9,20.5,1.1279
1023,35.4,19.9,1.1222
1085,34.4,22.5,1.205
1116,34.8,22.8,1.2488
1111,34.3,22.4,1.1907
1210,32.5,25.3,1.2165
1250,31.3,27.3,1.2234
1297,30.2,29.0,1.2224
1313,28.5,33.3,1.2775
1146,27.3,35.3,1.2606
1199,26.1,37.8,1.2575
1274,24.7,47.1,1.44
1243,23.6,59.8,1.7193
1054,23.3,60.5,1.706
962,23.3,59.4,1.6753
915,22.9,57.7,1.5902
871,23.7,53.5,1.546
877,21.2,60.9,1.5092
893,22.1,56.2,1.48
1030,21.9,57.0,1.4742
1059,24.7,45.9,1.4061
1020,27.0,40.8,1.4286
1045,29.1,37.4,1.4833
1029,31.1,32.4,1.4351
959,31.9,30.3,1.4125
975,32.8,28.9,1.412
988,33.4,27.8,1.4119
971,35.3,23.7,1.3331
999,35.8,22.4,1.2915
989,35.3,20.8,1.1664
1075,33.3,23.9,1.2085
1190,30.3,30.8,1.3044
1172,28.3,34.5,1.3084
1256,27.1,38.9,1.3758
1190,25.4,43.2,1.3805
1249,24.6,45.3,1.3767
1072,23.7,46.0,1.3346
1035,23.0,48.1,1.3322
839,24.8,43.4,1.3366
833,23.1,47.4,1.3208
804,21.7,50.2,1.2917
811,21.9,50.7,1.3138
1028,20.1,57.0,1.3216
1138,21.5,51.8,1.3129
1203,22.9,48.7,1.3416
1193,25.7,41.0,1.3351
1049,29.9,33.2,1.3793
1090,32.9,28.0,1.3789
1070,34.0,25.6,1.3363
1014,34.7,22.6,1.2297
972,35.5,20.3,1.1586
951,35.9,18.8,1.0912
1033,36.2,18.6,1.0945
983,35.4,15.3,0.8613
973,32.9,15.5,0.7649
1083,29.9,19.8,0.8211
1062,28.1,22.4,0.8394
1011,26.1,24.7,0.8233
1054,25.0,28.7,0.8944
1013,24.3,31.0,0.9268
870,24.0,31.2,0.919
857,22.4,34.9,0.9362
835,21.2,37.6,0.9355
844,19.5,42.3,0.9461
763,21.2,39.4,0.9802
769,19.5,42.4,0.9515
891,18.6,45.8,0.9723
1037,19.7,44.1,1.0039
1090,21.9,39.4,1.0243
1117,24.5,34.3,1.0407
1109,30.0,25.6,1.0674
961,34.5,18.9,1.0168
985,36.3,17.5,1.0411
960,37.7,16.0,1.0231
927,38.3,15.8,1.0465
958,38.4,17.5,1.1609
1019,37.2,20.5,1.2813
1010,34.0,26.4,1.3781
1030,32.3,30.4,1.445
1100,30.5,33.9,1.4564
1079,29.2,37.8,1.5098
1036,28.4,39.1,1.4881
1085,27.7,40.6,1.4828
1214,27.2,42.5,1.5069
1127,26.5,44.8,1.528
1038,25.5,47.6,1.5318
948,25.2,47.8,1.5076
953,23.2,53.7,1.5046
869,23.2,52.3,1.4668
809,24.0,50.3,1.4811
833,23.5,51.2,1.4634
857,23.5,50.8,1.452
966,24.7,47.6,1.4597
1063,27.2,41.1,1.4611
1110,31.0,32.4,1.4294
1055,35.2,24.8,1.3854
939,37.8,18.5,1.1977
816,39.0,15.1,1.0424
841,41.3,12.8,0.9933
842,41.8,11.9,0.9476
990,42.2,14.2,1.1609
1042,41.4,15.5,1.2089
1089,38.9,21.4,1.4605
1102,34.3,26.0,1.3865
1095,32.7,27.7,1.3439
1116,30.5,30.4,1.3031
1105,29.0,33.6,1.3277
1018,28.2,36.6,1.3781
991,27.2,38.9,1.3821
923,26.7,40.0,1.3754
874,26.0,41.2,1.3598
846,22.8,50.1,1.3677
838,24.0,46.6,1.37
827,24.0,46.4,1.3689
901,23.7,47.1,1.3602
1291,23.6,47.3,1.3634
1441,25.5,43.1,1.3891
1363,28.5,36.8,1.4128
1218,32.6,28.0,1.3566
1132,36.3,23.4,1.3902
1103,37.5,21.5,1.3673
1081,39.6,19.0,1.3447
1079,40.1,19.3,1.4013
1167,40.4,20.0,1.4854
1148,39.9,20.1,1.4495
1221,39.1,19.6,1.3542
1255,37.0,21.9,1.3503
1245,33.9,26.8,1.3899
1162,31.9,30.6,1.4201
1079,29.7,33.9,1.3874
1091,28.6,36.8,1.416
1085,27.8,38.7,1.4187
1050,27.8,40.0,1.4691
941,27.5,41.3,1.4962
891,27.3,41.6,1.4906
842,26.0,44.2,1.4657
850,24.8,48.0,1.4857
863,25.9,45.1,1.4889
956,25.3,47.6,1.5108
1384,24.7,49.5,1.5201
1502,27.1,43.1,1.5224
1219,28.3,39.8,1.5053
1237,32.4,32.3,1.5484
1181,35.4,27.8,1.5733
1251,35.5,27.4,1.5635
1214,37.8,24.4,1.5722
1166,37.2,25.5,1.5914
1226,37.2,25.6,1.6014
1265,38.0,25.0,1.6312
1317,37.1,26.9,1.6635
1372,36.9,27.8,1.7099
1443,34.7,31.9,1.7325
1200,31.9,38.4,1.7897
1216,30.5,42.3,1.8173
1160,29.3,45.8,1.8362
1194,28.2,48.1,1.8144
1199,27.3,51.0,1.8287
965,26.8,52.4,1.8141
961,26.0,54.9,1.8141
901,26.8,51.9,1.8058
864,26.9,51.8,1.805
952,24.6,59.1,1.8013
1009,26.4,53.1,1.7987
1225,27.3,46.4,1.6542
1245,28.4,40.4,1.5442
1265,30.8,37.1,1.6169
1276,34.2,30.7,1.6252
1232,37.0,26.5,1.6352
1193,36.6,27.8,1.676
1162,36.9,26.9,1.6477
1126,39.3,22.2,1.552
1089,38.5,22.4,1.5018
1134,39.7,20.4,1.4594
1388,38.8,24.2,1.6433
1506,33.5,38.0,1.939
1352,34.0,32.9,1.7251
1217,31.9,33.7,1.5663
1149,30.2,37.6,1.587
1156,28.9,41.0,1.6096
1180,27.8,45.2,1.6604
1109,27.1,47.4,1.6701
1032,26.2,49.4,1.6555
893,26.9,49.3,1.7196
848,26.3,50.8,1.7058
850,24.9,54.6,1.6908
938,23.4,58.6,1.6651
948,24.4,55.2,1.6604
1225,25.1,54.3,1.7057
1380,26.6,51.2,1.7565
1276,28.2,47.1,1.7752
1246,31.6,39.4,1.7969
1141,34.2,31.8,1.6837
1199,36.6,27.1,1.6352
1156,37.6,26.9,1.715
1158,38.1,26.3,1.7213
1163,37.8,26.9,1.7392
1078,37.8,22.7,1.4653
1244,36.9,24.7,1.5134
1236,34.5,28.5,1.531
1364,32.5,30.9,1.4875
1193,30.9,30.4,1.338
1078,28.7,34.7,1.3457
1140,27.7,39.3,1.4372
1239,26.8,45.1,1.5645
1171,26.1,45.3,1.5115
1065,25.9,46.1,1.5174
1024,25.3,47.6,1.513
873,26.6,43.0,1.4773
874,25.3,47.2,1.5025
887,25.1,48.0,1.5115
993,24.8,50.6,1.5654
1299,25.7,49.7,1.615
1529,27.4,45.5,1.6396
1320,29.3,40.0,1.6082
1226,33.6,28.7,1.4693
1105,34.6,27.7,1.4991
1160,35.6,27.2,1.5557
1125,36.9,23.3,1.4313
1099,38.8,20.7,1.4036
1124,38.1,22.6,1.4868
1105,37.1,23.0,1.4229
1035,34.8,19.3,1.0543
1065,33.6,20.7,1.059
1051,31.4,18.5,0.8376
1073,29.5,23.8,0.9623
1008,27.4,27.1,0.9736
1090,26.1,31.1,1.0338
1048,25.5,34.0,1.0935
1131,24.0,37.8,1.1125
953,24.2,37.3,1.1118
897,23.4,40.6,1.1571
900,21.8,46.6,1.1991
828,22.6,43.0,1.1629
892,20.2,50.7,1.1844
914,20.5,49.3,1.176
1096,21.4,48.0,1.2086
1173,23.2,43.9,1.2344
1125,25.3,40.7,1.2921
1079,29.9,31.1,1.2883
974,33.9,21.3,1.1067
977,36.3,16.0,0.9465
912,36.6,15.2,0.9177
896,37.4,15.8,0.9998
896,37.9,15.0,0.9721
956,38.0,16.8,1.0933
970,36.9,17.5,1.0789
929,35.3,17.0,0.9561
947,31.9,20.4,0.9462
1003,29.1,29.6,1.1792
1045,27.4,33.4,1.2022
1125,26.7,35.8,1.2318
1138,25.2,42.7,1.3473
1217,24.0,51.9,1.5252
983,24.5,44.4,1.3476
1007,22.6,51.0,1.3805
957,22.2,52.7,1.3891
914,21.2,56.8,1.4094
886,20.3,59.6,1.3994
899,21.3,56.7,1.4178
942,23.0,54.6,1.5177
1022,23.7,54.3,1.5731
1009,25.4,49.3,1.5732
1025,29.6,37.7,1.544
977,33.9,26.2,1.3664
936,35.8,22.4,1.2933
884,37.9,18.8,1.222
809,38.5,14.8,0.9942
852,39.3,14.5,1.0149
872,38.9,15.6,1.0613
839,37.9,12.7,0.8211
854,35.8,13.4,0.7749
971,32.3,19.7,0.9345
985,30.1,23.5,0.9869
1027,28.2,28.7,1.0806
1012,26.0,35.7,1.1842
1086,25.3,39.2,1.2452
1025,24.7,38.7,1.1845
848,25.5,35.7,1.1499
839,22.5,43.2,1.1589
814,21.6,46.1,1.1761
816,19.7,51.4,1.1688
799,21.6,45.7,1.1665
879,21.1,47.3,1.1654
1104,21.6,44.1,1.1269
1344,23.7,37.9,1.0988
1226,26.0,30.1,0.9953
1157,30.6,23.2,1.001
1059,34.1,19.1,1.0048
1076,36.2,18.0,1.0636
1066,37.4,17.3,1.0914
1049,39.5,15.6,1.102
1097,40.4,14.9,1.1033
1087,40.1,16.1,1.1699
1269,39.3,18.9,1.3251
1328,37.3,19.9,1.2437
1200,33.6,22.9,1.1747
1098,30.7,28.9,1.2501
1058,28.8,32.8,1.2776
1081,27.3,36.8,1.3207
1062,26.2,39.7,1.3249
1078,25.4,43.0,1.37
917,25.8,41.0,1.3461
881,23.3,48.4,1.3677
865,23.5,47.8,1.3607
829,23.5,46.7,1.3361
913,21.8,52.3,1.3539
1077,21.8,52.5,1.3529
1337,22.9,49.1,1.3546
1467,24.9,43.3,1.3422
1257,26.7,39.4,1.3556
1227,30.5,32.9,1.4135
1188,34.2,27.2,1.4404
1301,38.2,20.9,1.3701
1201,39.6,16.9,1.2028
1058,39.9,15.8,1.141
1037,40.2,13.9,1.02
1055,39.6,13.2,0.9332
1179,39.5,12.6,0.8894
1298,37.9,13.9,0.9015
1213,34.2,17.9,0.9444
1233,32.6,20.6,0.9939
1086,30.4,23.2,0.9889
1056,28.8,25.1,0.9793
1138,27.8,29.9,1.1018
1112,26.9,32.6,1.1381
992,26.3,33.7,1.1377
895,25.7,33.9,1.1065
843,24.8,36.0,1.1109
828,25.5,34.6,1.1096
894,24.0,37.8,1.1077
1072,23.9,39.3,1.1522
1425,24.8,38.4,1.1808
1428,26.9,34.4,1.2036
1359,29.6,28.7,1.1706
1182,34.6,21.1,1.1398
1117,38.3,17.0,1.1216
1119,40.4,14.5,1.0736
1068,42.6,9.6,0.8012
1090,42.5,10.2,0.8478
1056,41.0,11.6,0.8872
1098,41.3,13.0,1.0154
1318,39.2,14.5,1.0106
1348,36.9,17.9,1.096
1502,35.6,20.4,1.1646
1373,33.7,22.6,1.1658
1397,31.5,27.8,1.2671
1286,31.1,29.3,1.3055
1222,30.2,30.9,1.3026
1069,29.8,30.2,1.2502
1011,28.4,32.5,1.2361
962,27.5,34.0,1.231
919,26.8,35.3,1.2243
969,24.5,40.4,1.2251
986,25.6,38.8,1.2545
990,27.5,34.6,1.2518
1296,25.9,37.4,1.2289
1371,28.5,32.5,1.2441
1385,29.5,32.7,1.3229
1381,29.8,33.1,1.3693
1396,33.4,26.8,1.3586
1070,40.3,15.8,1.1604
1076,41.8,15.0,1.1989
1126,41.1,15.7,1.2071
1225,41.9,14.8,1.1944
1202,40.9,14.6,1.114
1308,39.1,16.9,1.1705
1440,36.4,27.3,1.6308
1611,34.9,29.3,1.611
1387,33.6,26.4,1.3515
1268,32.2,27.6,1.3044
1237,30.5,29.7,1.2742
1302,29.4,35.6,1.4383
1347,29.1,34.8,1.38
1355,27.7,41.9,1.537
1023,27.9,41.6,1.5425
903,27.8,43.7,1.6039
876,27.4,42.2,1.5177
932,26.6,42.8,1.4713
1020,26.9,40.3,1.4041
1264,27.0,37.3,1.3081
1179,27.0,35.3,1.2396
1079,27.4,32.0,1.1545
1036,30.5,24.7,1.0592
1002,32.9,20.1,0.9902
995,33.9,18.4,0.9587
1008,34.4,19.3,1.0325
978,34.2,19.6,1.0399
989,33.2,20.4,1.0195
961,32.4,19.1,0.915
1009,32.2,17.1,0.8124
970,31.0,17.1,0.7526
1097,28.3,24.9,0.9412
1065,26.6,30.2,1.033
1036,24.8,36.8,1.1357
1049,23.7,43.4,1.2495
1147,23.0,46.2,1.2815
1118,22.7,47.7,1.2977
1016,22.2,49.5,1.3081
940,21.6,51.9,1.3254
836,22.3,50.4,1.3379
831,22.4,49.7,1.3333
877,21.7,52.0,1.3313
872,21.1,53.2,1.3181
958,22.0,51.0,1.3296
959,25.0,41.6,1.301
997,26.7,36.4,1.2596
916,29.1,29.7,1.1751
895,31.2,23.4,1.0487
855,32.4,20.5,0.9806
861,33.3,19.2,0.9634
821,33.1,16.8,0.8391
835,33.1,18.3,0.9081
813,32.4,18.0,0.8599
833,31.8,18.7,0.8624
859,30.3,21.4,0.9064
887,27.2,28.2,1.0013
970,26.1,33.7,1.1228
990,24.7,38.8,1.1929
1022,23.4,43.2,1.229
1075,23.1,44.2,1.2317
1088,22.7,45.3,1.2299
925,21.6,47.5,1.2118
853,22.0,45.8,1.1965
918,20.4,51.3,1.2131
796,20.6,50.3,1.2041
796,20.6,50.6,1.2119
795,21.3,48.8,1.2189
842,20.4,52.6,1.247
850,23.5,44.0,1.2596
884,25.7,37.9,1.2334
907,27.9,33.6,1.2433
846,29.0,28.3,1.1116
827,29.5,25.9,1.0489
804,31.8,22.3,1.0366
775,32.2,20.0,0.9488
802,32.4,19.3,0.922
844,33.0,17.7,0.8758
881,32.0,19.8,0.9273
877,29.6,24.1,0.9831
931,26.9,27.1,0.948
1011,25.3,30.9,0.9815
1035,24.2,35.9,1.0684
1153,23.2,43.2,1.2104
1020,22.7,43.9,1.1962
954,21.6,44.0,1.1244
903,20.7,46.4,1.1198
779,21.2,46.2,1.1482
761,22.7,42.3,1.1491
780,19.9,51.3,1.1803
835,20.0,51.8,1.1967
1004,18.5,57.4,1.2076
1272,19.6,54.3,1.2278
1173,21.3,49.7,1.2452
986,21.7,46.3,1.1867
942,23.4,39.4,1.1172
957,25.7,33.0,1.0763
1024,28.5,27.3,1.0479
962,27.0,27.9,0.9812
958,24.2,36.9,1.0966
933,26.0,34.9,1.1509
942,24.8,33.1,1.0222
1073,24.0,36.3,1.0708
1086,23.6,35.5,1.0187
1091,23.6,35.7,1.0282
980,23.3,34.5,0.9768
904,22.5,36.8,0.988
865,21.3,38.7,0.9686
898,20.9,39.4,0.9596
945,19.8,47.7,1.093
854,19.3,51.4,1.1387
751,18.4,53.4,1.117
723,18.8,51.1,1.1
754,16.3,59.8,1.1042
758,16.6,56.8,1.0629
873,16.2,57.4,1.0515
1176,17.3,54.3,1.0631
1257,19.2,48.8,1.0751
1137,21.7,42.4,1.0859
1064,26.4,29.9,1.0138
1026,31.3,19.1,0.8634
986,33.7,15.4,0.7913
908,34.5,13.3,0.7158
888,33.8,13.9,0.7172
843,30.1,19.4,0.8157
905,28.3,21.3,0.8054
1023,31.9,18.3,0.8523
1125,32.0,20.1,0.9364
1211,28.9,24.1,0.9495
1140,27.3,27.1,0.967
1029,26.0,28.5,0.9484
981,25.2,28.6,0.9008
971,24.3,31.1,0.9316
927,23.6,33.8,0.9685
868,23.0,33.8,0.9406
863,22.2,38.4,1.0126
820,20.4,42.6,1.0083
777,20.5,42.3,1.0091
855,18.8,49.0,1.0505
960,18.8,49.4,1.0624
1310,19.9,46.5,1.071
1339,22.1,41.7,1.098
1211,24.0,36.4,1.0706
1068,30.2,22.8,0.9616
932,33.4,17.1,0.8627
949,35.1,15.0,0.8381
944,34.1,16.0,0.8408
966,35.7,13.6,0.7836
940,35.3,13.8,0.7767
934,32.3,16.7,0.7946
1052,36.0,13.3,0.7773
1109,35.8,13.7,0.7868
1169,32.3,18.4,0.8753
1093,29.7,25.0,1.0246
1084,27.8,26.6,0.9748
970,26.3,27.3,0.9238
951,25.3,30.0,0.9508
1038,24.0,34.9,1.0271
950,23.4,38.6,1.0968
831,23.5,38.3,1.0972
813,22.0,42.6,1.1146
797,21.6,44.0,1.1225
824,21.4,45.6,1.1493
879,21.1,47.1,1.1641
1132,21.3,48.4,1.2119
1291,22.9,47.9,1.3208
1193,24.4,45.5,1.3721
1057,27.6,38.0,1.3818
1027,31.1,29.6,1.318
1084,33.4,24.7,1.2516
1032,35.7,18.9,1.0865
977,36.2,18.1,1.0724
1039,37.1,17.7,1.094
1056,36.5,18.1,1.0887
1164,35.5,19.1,1.0888
1124,33.7,20.0,1.0275
1152,30.5,22.7,0.9763
1223,28.7,26.2,1.0144
1058,26.7,28.9,0.9981
1049,25.7,31.6,1.0285
1010,24.5,35.7,1.0807
981,24.3,36.3,1.0852
886,23.8,36.9,1.0748
821,23.7,37.3,1.076
784,22.2,40.6,1.0729
771,21.6,42.2,1.0762
819,20.3,46.8,1.1
836,20.7,45.9,1.1088
1114,20.5,47.7,1.1419
1319,22.4,46.6,1.247
1211,24.2,48.5,1.4452
1051,28.8,33.0,1.2825
1108,32.8,25.2,1.2325
1014,34.4,19.9,1.0647
1003,36.5,16.7,1.0045
1021,37.5,14.3,0.9099
986,38.0,15.5,1.0119
1098,38.1,16.5,1.0828
1157,37.3,17.3,1.084
1190,35.9,17.7,1.0316
1183,32.4,21.5,1.0303
1231,30.3,25.6,1.0879
1102,28.5,27.8,1.0665
1041,26.9,30.5,1.0671
1090,25.7,33.5,1.0918
1074,24.7,36.9,1.1302
977,23.6,39.2,1.1306
949,22.2,43.0,1.1363
912,21.2,45.8,1.1353
863,21.3,45.9,1.1471
834,21.6,45.0,1.151
865,21.3,46.5,1.1608
974,21.1,46.9,1.1585
1079,22.8,43.0,1.1731
1084,25.0,38.3,1.198
1107,30.9,26.9,1.1835
1040,35.1,19.2,1.0664
1019,36.9,17.2,1.0576
1003,39.3,13.9,0.9715
925,40.3,12.6,0.9302
910,39.7,13.5,0.965
1012,41.1,13.1,1.0124
1100,40.1,14.9,1.0828
1046,37.4,17.0,1.0757
1083,34.0,19.2,1.0073
1050,31.7,21.6,0.9959
1050,29.7,24.2,0.9926
1142,27.9,27.6,1.0252
1165,26.8,29.9,1.0402
1136,25.8,33.0,1.0826
986,26.3,33.1,1.1199
971,24.3,38.1,1.1398
908,24.7,36.4,1.1158
882,23.3,39.5,1.1176
900,21.1,45.6,1.1246
935,20.2,48.5,1.1319
939,21.3,45.5,1.1405
982,22.6,31.0,0.8372
1088,25.7,34.8,1.1292
1065,31.6,23.8,1.0842
1016,36.3,16.3,0.9727
930,37.9,15.0,0.9728
928,39.4,13.7,0.9639
889,40.2,12.3,0.8983
966,41.3,11.9,0.9252
973,41.4,11.8,0.9282
950,40.1,13.6,0.9953
982,37.6,16.4,1.0458
990,33.9,20.3,1.0522
1017,31.6,22.9,1.0469
1067,29.7,24.8,1.016
1147,29.0,27.0,1.063
1132,27.9,30.4,1.1249
976,28.0,30.6,1.1396
920,26.8,32.3,1.1235
879,26.6,33.0,1.1338
854,23.7,38.6,1.1159
880,22.2,42.8,1.1317
925,21.2,46.3,1.1501
1044,21.4,46.5,1.172
1279,22.9,43.0,1.1826
1403,25.2,38.6,1.2215
1282,27.1,34.9,1.231
1262,32.4,24.8,1.1886
1195,36.8,18.0,1.0945
1173,39.1,16.0,1.11
1102,39.2,16.4,1.1439
1076,40.5,14.9,1.111
1078,41.4,13.8,1.0786
1100,40.5,14.9,1.114
1234,39.6,17.0,1.2064
1323,37.7,19.8,1.2715
1263,34.3,24.2,1.2857
1216,31.7,28.1,1.2912
1247,30.2,30.8,1.3008
1264,29.4,33.0,1.3343
1111,29.2,33.1,1.3202
1068,27.6,36.6,1.332
1015,27.2,36.9,1.3147
989,25.4,41.0,1.3079
930,25.2,41.5,1.3106
952,23.4,47.4,1.3475
981,25.1,44.0,1.3794
1138,23.9,46.5,1.3637
1472,24.8,43.2,1.3387
1626,27.0,38.7,1.361
1480,29.4,33.6,1.3526
1367,34.8,23.4,1.2781
1245,38.1,18.5,1.2108
1194,38.9,18.0,1.2318
1156,39.8,16.0,1.1444
1107,41.7,12.5,0.9941
1127,42.8,12.3,1.0326
1083,41.4,14.2,1.1128
1289,41.3,15.5,1.21
1209,38.3,19.4,1.2851
1221,34.7,23.3,1.2653
1255,32.6,26.3,1.2754
1163,30.9,29.0,1.275
1234,30.1,30.2,1.2711
1240,29.0,33.4,1.3149
1128,28.3,36.8,1.3906
1057,27.6,38.2,1.3911
1026,25.8,43.1,1.4113
925,27.4,39.1,1.4072
917,26.3,40.9,1.3803
1011,23.3,50.1,1.41
1079,23.1,49.7,1.3863
1322,24.2,46.4,1.3834
1526,25.8,42.2,1.3774
1338,28.1,37.3,1.3922
1421,33.9,26.8,1.397
